ASV_ID	RL1	RL2	RL3	RL4	RL5	RL6	RL7	RL8	RL9	RL10	RL11	RL12	RL13	RL14	RL15	RL16	RL17	RL18	RL19	RL20	RL21	RL22	RL23	RL24	RL25	RL26	RL27	RL28	RL29	RL30	RL31	RL32	RL33	RL34	RL35	RL36	RL37	RL38	RL39	RL40	RL41	RL42	RL43	RL44	RL45	RL46	RL47	RL48	RL49	RL50	RL51	RL52	RL53	RL54	RL55	RL56	RL57	RL58	RL59	RL60	RM1	RM2	RM3	RM4	RM5	RM6	RM7	RM8	RM9	RM10	RM11	RM12	RM13	RM14	RM15	RM16	RM17	RM18	RM19	RM20	RM21	RM22	RM23	RM24	RM25	RM26	RM27	RM28	RM29	RM30	RM31	RM32	RM33	RM34	RM35	RM36	RM37	RM38	RM39	RM40	RM41	RM42	RM43	RM44	RM45	RM46	RM47	RM48	RM49	RM50	RM51	RM52	RM53	RM54	RM55	RM56	RM57	RM58	RM59	RM60	RH1	RH2	RH3	RH4	RH5	RH6	RH7	RH8	RH9	RH10	RH11	RH12	RH13	RH14	RH15	RH16	RH17	RH18	RH19	RH20	RH21	RH22	RH23	RH24	RH25	RH26	RH27	RH28	RH29	RH30	RH31	RH32	RH33	RH34	RH35	RH36	RH37	RH38	RH39	RH40	RH41	RH42	RH43	RH44	RH45	RH46	RH47	RH48	RH49	RH50	RH51	RH52	RH53	RH54	RH55	RH56	RH57	RH58	RH59	RH60
ASV33	134	194	48	0	541	144	60	0	44	0	0	368	0	533	316	466	267	626	158	84	313	15	135	28	269	0	0	0	0	75	620	326	164	144	124	119	64	151	51	90	97	237	75	37	395	85	167	474	173	106	156	152	373	443	98	295	373	147	157	31	44	141	20	0	45	104	6	94	128	0	0	279	153	222	226	166	141	85	210	33	97	12	17	0	97	0	0	58	0	453	245	225	110	103	65	0	0	562	82	96	0	128	48	199	45	70	89	110	216	39	0	235	109	67	153	173	18	21	113	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	111	1965	0	0	0	0	0	0	717	0	0	0	25	0	87	2557	0	0	454	0	0	0	0	0	0	1646	1788	49	2423	270	506	0	0	0	0	9	0	0	0	54	345	197	0	45	0	0	1193	0	0	0	0	0	0	0	0	119	0	0
ASV41	104	21	317	0	245	355	399	0	446	0	0	1110	361	337	170	0	78	108	199	175	321	0	146	230	358	0	0	0	0	0	0	0	141	191	220	0	0	453	714	319	283	0	528	294	0	283	178	309	345	253	161	293	354	395	0	310	66	169	148	0	176	129	0	0	24	147	0	123	0	0	0	155	102	78	66	0	0	0	150	0	87	0	193	0	81	0	0	0	0	0	96	120	197	144	47	101	0	106	332	522	0	0	164	0	0	0	211	63	0	78	42	59	74	13	99	221	30	0	21	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV26	0	0	0	0	374	27	12	0	0	0	0	256	0	49	0	0	0	0	22	0	0	0	0	0	32	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	129	0	137	259	0	16	68	0	962	217	0	0	0	0	1180	22	4215	0	0	0	0	680	0	60	2	0	0	0	137	0	32	0	0	9	49	0	0	0	0	0	0	23	3	10	378	0	0	533	0	35	0	0	0	255	45	0	81	302	5	202	167	120	996	91	0	1441	71	2	2218	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	951	0	0	0	0	0	0	2239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	894	0	19	1982	343	0	218	0	259	0	0	677	0	0	0	0	353	0	0	0	0	1165	1483	0	0	300	0	0	0	1249	0	0	0	0	0	160	0	255	0	0	1512	1393	0	0	0	85	0	0	0	52	0	0	0	0	0	280	28	0
ASV42	0	0	739	0	337	275	584	0	691	0	0	0	906	204	1001	0	0	0	302	0	741	0	0	950	577	0	0	0	0	0	0	103	0	0	0	0	0	420	0	0	71	0	210	1113	0	194	0	212	850	226	161	315	241	141	0	241	10	290	160	71	169	0	0	0	0	80	0	0	81	76	0	73	248	98	57	0	236	0	176	0	77	0	190	0	117	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV51	139	19	221	0	242	134	142	0	0	659	0	267	0	280	122	388	0	342	147	0	214	139	0	83	503	1083	1781	0	0	0	535	381	159	185	152	0	62	277	403	75	78	431	189	116	246	142	438	189	120	121	88	200	165	241	281	145	210	33	136	59	0	13	0	0	0	0	0	0	19	229	0	0	53	0	36	34	44	39	35	0	43	0	22	11	155	0	9	0	0	0	0	0	0	0	8	0	0	0	91	33	0	0	0	0	23	0	0	11	0	17	0	48	11	23	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV18	344	0	0	0	117	330	128	0	280	0	0	1013	0	79	76	0	94	0	121	313	228	0	106	0	0	0	0	0	0	0	0	0	68	171	0	191	56	371	337	540	340	0	252	235	0	0	0	232	0	140	0	318	434	0	681	758	0	125	103	0	564	0	0	0	0	209	0	234	0	0	0	245	110	124	26	118	103	160	176	267	46	0	259	0	127	0	0	0	0	0	56	0	215	139	0	0	0	86	343	385	0	0	46	190	113	0	152	54	45	19	0	40	13	0	219	142	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV49	361	0	221	0	276	162	232	513	187	170	0	0	246	260	53	146	358	201	286	427	188	273	306	81	291	78	0	0	0	0	130	0	447	283	360	457	0	229	370	204	105	0	184	109	108	0	407	176	69	87	84	178	202	120	392	134	15	31	79	58	0	0	0	0	0	33	0	0	0	55	0	40	72	51	51	133	49	34	0	0	0	15	53	0	47	0	0	0	0	0	69	0	0	0	29	0	0	0	168	0	0	0	0	0	0	0	0	18	72	0	0	17	0	16	112	30	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	106	0	0	0	54	0	0	0	0	1713	0	0	0	0	0	0	0	0	0	0	0	0	1644	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	34	0	0	0	195	0	1063	2085	463	1479	687	0	456	14	74	1269	14
