Direct,CBM,Direct|CBM
,K05372,K00969
,K06146,K02959
,K06157,K02963
,K19157,K01902
,K14534,K01735
,K05910,K06207
,K08475,K01903
,K04785,K00602
,K04786,K01876
,K05374,K01890
,K08476,K01940
,K08478,K02888
,K11382,K03625
,K19127,K02341
,K19129,K06173
,K12343,K06168
,K05747,K02904
,K13606,K02996
,K14587,K03177
,K17464,K00609
,K17465,K03685
,K17466,K10119
,K17467,K01945
,K09116,K00052
,K12567,K09710
,K03896,K00057
,K07471,K01624
,K12246,K01695
,K12517,K03655
,K12518,K00800
,K12519,K01698
,K12520,K04096
,K12521,K00859
,K12522,K03631
,K12523,K00764
,K18895,K01933
,K12292,K01749
,K19737,K02113
,K19597,K03522
,K18891,K02961
,K18892,K05896
,K00198,K10440
,K00533,K03585
,K04835,K00013
,K09952,K02864
,K08961,K00606
,K10906,K00024
,K19505,K03521
,K03390,K02500
,K19130,K02956
,K06084,K01588
,K18491,K01924
,K01261,K02501
,K18974,K02435
,K16788,K02340
,K18120,K02392
,K18119,K06158
,K01264,K03106
,K02506,K03639
,K15898,K07497
,K00687,K11175
,K12556,K00945
,K19504,K00765
,K16077,K00793
,K03930,K03536
,K05358,K03526
,K07356,K01778
,K10762,K00919
,K11693,K00077
,K12268,K03321
,K12269,K01011
,K18006,K03073
,K18888,K03635
,K19144,K07720
,K00105,K00053
,K12270,K02238
,K18325,K02890
,K13677,K06024
,K19167,K00099
,K10530,K02563
,K12293,K07447
,K18345,K00767
,K06033,K02434
,K18887,K02557
,K19609,K01925
,K19610,K01000
,K01045,K01609
,K04641,K19689
,K10670,K00208
,K05922,K01885
,K05927,K03696
,K06216,K03584
,K08077,K00075
,K09944,K07088
,K10954,K00891
,K13985,K02911
,K07605,K02990
,K11045,K00951
,K14563,K03215
,K10918,K03470
,K15910,K01495
,K17251,K00278
,K11139,K13628
,K13776,K09761
,K13686,K02036
,K16915,K00847
,K18975,K01679
,K19246,K08998
,K10353,K00111
,K18110,K00812
,K19299,K00864
,K15781,K01918
,K12070,K03408
,K12071,K03786
,K11014,K03733
,K12981,K03218
,K17249,K07718
,K13921,K00773
,K13923,K00931
,K18146,K03501
,K18147,K00567
,K18767,K07082
,K19697,K02503
,K02183,K02860
,K07339,K00147
,K08357,K03517
,K08359,K04485
,K18072,K00067
,K03444,K09013
,K19050,K09117
,K19063,K02907
,K00933,K02038
,K00934,K03572
,K06882,K02005
,K09655,K00941
,K10408,K15977
,K10621,K03595
,K11914,K00943
,K11957,K01808
,K12296,K16785
,K13239,K00973
,K18256,K00798
,K10682,K02825
,K08068,K03925
,K08643,K09748
,K16842,K11717
,K00394,K00104
,K00395,K00632
,K06357,K01776
,K07548,K06925
,K14159,K05606
,K18137,K07566
