Direct,CBM,Direct|CBM
ASV3605,ASV204,
ASV3133,ASV1852,
ASV3614,ASV3727,
ASV2582,ASV1721,
ASV3650,ASV2332,
ASV3002,ASV2390,
ASV3498,ASV1612,
ASV2452,ASV2957,
ASV2692,ASV3241,
ASV3371,ASV2661,
ASV2624,ASV2810,
ASV3738,ASV2901,
ASV3316,ASV3488,
ASV2472,ASV1835,
ASV3642,ASV1686,
ASV3610,ASV2459,
ASV3529,ASV2235,
ASV3325,ASV2498,
ASV3267,ASV2011,
ASV2045,ASV765,
ASV2887,ASV1301,
ASV2728,ASV1498,
ASV2686,ASV1629,
ASV2941,ASV2381,
ASV2942,ASV2186,
ASV2683,ASV2668,
ASV2139,ASV1455,
ASV3612,ASV1764,
ASV2765,ASV2669,
ASV2926,ASV3634,
ASV1989,ASV3095,
ASV3271,ASV2361,
ASV3430,ASV1567,
ASV2629,ASV1583,
ASV3193,ASV1784,
ASV2680,ASV2876,
ASV3324,ASV2962,
ASV3337,ASV2980,
ASV2913,ASV3296,
ASV3214,ASV1588,
ASV3374,ASV1847,
ASV2717,ASV1993,
ASV2918,ASV2035,
ASV2539,ASV2143,
ASV2140,ASV2399,
ASV2528,ASV2254,
ASV2405,ASV2734,
ASV2527,ASV1476,
ASV3740,ASV2494,
ASV3058,ASV1083,
ASV1229,ASV1204,
ASV3029,ASV1357,
ASV3063,ASV1875,
ASV3136,ASV1838,
ASV2672,ASV2090,
ASV1662,ASV1240,
ASV2347,ASV3237,
ASV3201,ASV232,
ASV3773,ASV3580,
ASV3462,ASV1690,
ASV3544,ASV3712,
ASV3685,ASV931,
ASV1282,ASV1216,
ASV1915,ASV2130,
ASV3364,ASV2466,
ASV2267,ASV3078,
ASV3207,ASV866,
ASV2348,ASV879,
ASV3037,ASV1965,
ASV3192,ASV285,
ASV2406,ASV733,
ASV2587,ASV1329,
ASV3776,ASV1554,
ASV2656,ASV1698,
ASV3686,ASV1826,
ASV2882,ASV2036,
ASV2983,ASV2376,
ASV3759,ASV2534,
ASV3051,ASV535,
ASV2354,ASV706,
ASV3057,ASV1628,
ASV2826,ASV2075,
ASV3616,ASV3310,
ASV3038,ASV2126,
ASV3431,ASV2433,
ASV3460,ASV2804,
ASV3626,ASV2024,
ASV3521,ASV1293,
ASV2893,ASV1932,
ASV3450,ASV811,
ASV3054,ASV3408,
ASV3668,ASV1181,
ASV2732,ASV3014,
ASV3117,ASV1466,
